fetched_at,match_time,match_date,home_team,away_team,home_status,away_status,team,side,pos,name,player_id,status,profile_url
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,GK,Mahmud Ibrahim Abunada,48085,,https://www.rotowire.com/soccer/player/mahmud-ibrahim-abunada-48085
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,DL,Homam Ahmed,38154,,https://www.rotowire.com/soccer/player/homam-ahmed-38154
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,DC,Boualem Khoukhi,28549,,https://www.rotowire.com/soccer/player/boualem-khoukhi-28549
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,DC,Pedro Miguel,28522,,https://www.rotowire.com/soccer/player/pedro-miguel-28522
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,DR,Ayoub Al Oui,48091,,https://www.rotowire.com/soccer/player/ayoub-al-oui-48091
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,MC,Ahmed Fathy,28531,,https://www.rotowire.com/soccer/player/ahmed-fathy-28531
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,MC,Karim Boudiaf,28513,,https://www.rotowire.com/soccer/player/karim-boudiaf-28513
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,MC,Jassem Gaber,38185,,https://www.rotowire.com/soccer/player/jassem-gaber-38185
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,FWL,Akram Afif,22216,,https://www.rotowire.com/soccer/player/akram-afif-22216
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,FWR,Edmilson Junior,48087,,https://www.rotowire.com/soccer/player/edmilson-junior-48087
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,QAT,home,FW,Almoez Ali,28494,,https://www.rotowire.com/soccer/player/almoez-ali-28494
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,GK,Gregor Kobel,21692,,https://www.rotowire.com/soccer/player/gregor-kobel-21692
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DL,Ricardo Rodriguez,17706,,https://www.rotowire.com/soccer/player/ricardo-rodriguez-17706
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DC,Nico Elvedi,19409,,https://www.rotowire.com/soccer/player/nico-elvedi-19409
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DC,Manuel Akanji,23081,,https://www.rotowire.com/soccer/player/manuel-akanji-23081
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DR,Silvan Widmer,20801,,https://www.rotowire.com/soccer/player/silvan-widmer-20801
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DMC,Remo Freuler,20980,,https://www.rotowire.com/soccer/player/remo-freuler-20980
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,DMC,Granit Xhaka,17705,,https://www.rotowire.com/soccer/player/granit-xhaka-17705
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,AML,Michel Aebischer,26843,,https://www.rotowire.com/soccer/player/michel-aebischer-26843
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,AMC,Ruben Vargas,29031,OUT,https://www.rotowire.com/soccer/player/ruben-vargas-29031
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,AMR,Dan Ndoye,32713,,https://www.rotowire.com/soccer/player/dan-ndoye-32713
2026-06-13T07:30:11Z,June 133:00 PM ET,2026-06-13,QAT,SUI,Predicted Lineup,Predicted Lineup,SUI,away,FW,Breel Embolo,18333,,https://www.rotowire.com/soccer/player/breel-embolo-18333
2026-06-13T07:30:11Z,June 136:00 PM ET,2026-06-13,BRA,MAR,Predicted Lineup,Predicted Lineup,BRA,home,GK,Alisson,21124,,https://www.rotowire.com/soccer/player/alisson-21124
2026-06-13T07:30:11Z,June 136:00 PM ET,2026-06-13,BRA,MAR,Predicted Lineup,Predicted Lineup,BRA,home,DL,Alex Sandro,18485,,https://www.rotowire.com/soccer/player/alex-sandro-18485
